Content,Video title,Video publish time,Duration,Comments added,Shares,Likes,Views,Watch time (hours),Subscribers,Impressions,Impressions click-through rate (%)
m5OOR2A3uPo,Sunday Morning Worship Service - 4/19/20,19-Apr-20,3809,21,10,21,2141,554.6651,15,19521,4.47
4Tfjt0h1tUQ,"Non nobis, Domine (Rosephanye Powell)",28-Mar-21,220,20,893,635,55313,2178.2395,88,244437,11.87
OO8ojJ7_Yqs,Duke Physician Assistant Program Certificate Ceremony,2-Aug-19,3987,19,15,10,1062,134.2619,0,16953,2.48
xq7mTW-A3zo,Good Friday Worship Service - 4/10/20,11-Apr-20,3665,19,36,40,5695,714.2066,19,64107,3.41
4lzZHrgCNP8,Bach Organ Concert: 'Master Craftsman: The Height of Genius',20-Nov-16,4516,18,180,274,32121,4329.6341,108,205378,5.58
2amN1FAPhWY,Sunday Morning Worship Service - 8/9/20 - Rev. Bruce Puckett,9-Aug-20,4237,17,4,17,1519,391.1401,3,17039,3.59
5PBOLBVECx8,2017 Duke School of Nursing Hooding and Recognition Ceremony,14-May-17,9181,17,35,19,1214,180.1138,3,5122,2.75
QIfkT6yDMpY,Celebration of Music,30-Sep-16,5099,17,40,19,1918,467.5495,5,152,4.61
QBXGFc4bD5I,Service of Word and Prayer - 3/29/20,29-Mar-20,2933,16,12,14,1285,297.0862,9,9237,3.63
YkT_IQoRomM,Sunday Service - 10/10/10 - NT Wright,11-Oct-10,4811,16,43,116,25935,2612.9182,48,64434,4.46
YoQQ9eqngZk,Handel's Messiah 2022,19-Dec-22,6455,16,461,214,11130,3564.9013,81,112823,4.05
IwPhn546uQs,Sunday Sermon - Continuing Through The Disruptive Conjunction - Walter Brueggeman,11-Apr-09,1140,15,176,86,18311,1786.5448,56,68208,5.31
ZwBaN9YFAUw,Daniel Roth Organ Recital - 3/1/2009,4-Sep-13,4155,15,43,67,10737,986.8016,17,49615,5.18
oU_Slg-A3Yw,Catholic Mass - 5/12/13 - 7th Sunday of Easter (The Ascension of the Lord),13-May-13,4701,15,22,18,12536,1092.5794,12,28357,10.65
zbmGWxhUKWg,The Wedding of Vijay Alfred and Rathna Devanand,,4361,15,34,43,1430,173.2543,12,82,10.98
hhlhJzE_FuA,Duke Chapel Virtual Tour,28-Aug-20,749,14,249,167,25636,1120.7644,52,534910,0.92
 -d3V8RA5RZY,Memorial Service for Dr. Brenda Armstrong,23-Oct-18,7063,13,75,25,2259,596.3814,6,17188,3.03
D1P5U8R1N2k,2018 Martin Luther King Jr. Commemoration,14-Jan-18,7767,13,69,29,2230,359.8395,0,48209,1.21
